recipe_name|category|method|effect_category|ingredients|ingredient_category
Sprouting Chinese Foxglove Chicken|Dish|['Steam']|['Musculoskeletal Issues', 'General Health and Wellness']|['and black chicken', 'sweetmeats', 'Sprouting Chinese foxglove']|['meat' 'condiment' 'chinese_medicinal_material']
Lamb Honey Paste|Paste|['Pan-fry', 'Simmer']|['General Health and Wellness', 'Musculoskeletal Issues', 'Respiratory Issues']|['juice of sprouting Chinese foxglove', 'juice of sprouting ginger', 'crystallized honey', 'cooked sheep’s marrow', 'Cooked sheep’s fat']|['juice' 'other' 'meat']
Sheep Entrails Gruel|Thick soup|['Boil']|['Gastrointestinal Issues', 'General Health and Wellness']|['lesser galangal', 'prepared mandarin orange peel', 'salted fruits', 'long pepper', 'black pepper', 'cow’s [milk] cheese', 'heart and lung', 'kidney', 'stomach', 'Sheep’s liver']|['spice' 'plant' 'other' 'chinese_medicinal_material' 'meat']
Sheep Bone Congee|Conge|['Simmer']|['General Health and Wellness', 'Musculoskeletal Issues']|['salt', 'fresh ginger', 'tsaoko cardamom', 'lesser galangal', 'prepared mandarin orange peel', 'Sheep’s bones']|['condiment' 'spice' 'plant']
Sheep’s Spine Gruel|Conge|['Simmer']|['General Health and Wellness', 'Gastrointestinal Issues']|['long pepper', 'tsaoko cardamom', 'broomrape', 'Sheep’s spine']|['chinese_medicinal_material' 'spice']
White Sheep Kidney Gruel|Thick soup|['Boil']|['General Health and Wellness', 'Others', 'Musculoskeletal Issues']|['tsaoko cardamom', 'long pepper', 'prepared mandarin orange peel', 'black pepper', 'sheep’s fat', 'broomrape', 'White sheep’s kidney']|['spice' 'chinese_medicinal_material' 'plant' 'meat']
Pig Kidney Congee|Conge|['Boil']|['Gastrointestinal Issues', 'Musculoskeletal Issues', 'Others']|['grain-of-paradise', 'prepared mandarin orange peel', 'tsaoko cardamom', 'non-glutinous rice', 'Pig kidney']|['plant' 'spice' 'grain' 'meat']
Chinese Matrimony Vine Fruit and Sheep’s Kidney Congee|Conge|['Simmer', 'Boil']|['Heat-clearing', 'Musculoskeletal Issues', 'General Health and Wellness']|['mutton', 'spring onions', 'sheep’s kidney', 'Chinese matrimony vine fruits']|['vegetable' 'meat' 'chinese_medicinal_material']
Deer’s Kidney Gruel|Thick soup|['Boil']|['Gastrointestinal Issues', 'Others']|['Deer’s kidney']|meat
Mutton Gruel|Meat|['Simmer']|['Gastrointestinal Issues', 'Musculoskeletal Issues']|['spring onions', 'black pepper', 'long pepper', 'lesser galangal', 'prepared mandarin orange peel', 'tsaoko cardamom', 'Chinese radish', 'Mutton']|['vegetable' 'spice' 'chinese_medicinal_material' 'plant' 'meat']
Deer Feet Soup|Soup|['Boil']|['Neurological and Mental Health', 'General Health and Wellness', 'Musculoskeletal Issues']|['tsaoko cardamom', 'prepared mandarin orange peel', 'Deer feet']|['spice' 'plant' 'meat']
Deer Horn Liquor|Dish|[]|['Musculoskeletal Issues']|['Deer horn']|chinese_medicinal_material
Black Ox Marrow Decoction|Pan-fry|['Pan-fry']|['Gastrointestinal Issues', 'General Health and Wellness']|['crystallized honey', 'juice of sprouting Chinese foxglove', 'Black ox marrow']|['other' 'meat']
Fox Meat Soup|Meat|['Boil']|['General Health and Wellness']|['kasni', 'lesser galangal', 'prepared mandarin orange peel', 'onions', 'grain-of-paradise', 'tsaoko cardamom', 'Fox meat']|['plant' 'spice' 'vegetable' 'meat']
Black Chicken Soup|Soup|['Boil']|['General Health and Wellness', 'Gastrointestinal Issues']|['tsaoko cardamom', 'black pepper', 'lesser galangal', 'prepared mandarin orange peel', 'Black chicken']|['spice' 'plant' 'meat']
Ghee Liquor|Dish|[]|['General Health and Wellness', 'Neurological and Mental Health']|['Ghee']|dairy_product
Chinese Yam Tuo|Dish|['Boil']|['General Health and Wellness', 'Gastrointestinal Issues']|['Chinese yams', 'grain-of-paradise', 'black pepper', 'lesser galangal', 'prepared mandarin orange peel', 'tsaoko cardamom', 'spring onions', 'Chinese radish', 'Sheep’s bone']|['spice' 'plant' 'vegetable' 'meat']
Chinese Yam Congee|Conge|['Boil']|['General Health and Wellness', 'Musculoskeletal Issues']|['Chinese yams', 'Mutton']|meat
Sour Jujube Congee|Conge|['Boil']|['General Health and Wellness']|['Sour jujubes']|[]
Sprouting Chinese Foxglove Congee|Conge|['Boil', 'Simmer', 'Boil']|['General Health and Wellness', 'Musculoskeletal Issues', 'Others', 'Respiratory Issues']|['Juice of sprouting Chinese foxglove', 'sour jujubes', 'Sprouting Chinese foxglove juice']|['juice' 'chinese_medicinal_material']
Chinese Flower Pepper Dough Gruel|Noodles|['Boil']|['Gastrointestinal Issues']|['flour', 'Chinese flower pepper']|['grain' 'spice']
Long Pepper Congee|Conge|['Boil']|['Gastrointestinal Issues']|['cassia', 'black pepper', 'Long pepper']|['plant' 'spice']
Lesser Galangal Congee|Conge|['Pan-fry', 'Boil']|['Gastrointestinal Issues']|['non-glutinous rice', 'Lesser galangal']|['grain' 'spice']
Evodia Fruit Congee|Conge|[]|['Gastrointestinal Issues']|['Evodia fruits']|plant
