Effect,Food_Name,Category
治久痔,鲫鱼羹,Gastrointestinal Issues
治肠风,鲫鱼羹,Gastrointestinal Issues
治大便常有血,鲫鱼羹,Gastrointestinal Issues
治久痔,獭肝羹,Gastrointestinal Issues
治下血不止,獭肝羹,Gastrointestinal Issues
治久痔,野猪,Gastrointestinal Issues
治野鸡病,野猪,Gastrointestinal Issues
治下血不止,野猪,Gastrointestinal Issues
治肛门肿满,野猪,Gastrointestinal Issues
治中风,羊头脍,Neurological and Mental Health
治头眩,羊头脍,Neurological and Mental Health
治羸瘦,羊头脍,General Health and Wellness
治手足无力,羊头脍,Musculoskeletal Issues
治中风,乌驴皮汤,Neurological and Mental Health
治手足不遂,乌驴皮汤,Musculoskeletal Issues
治节烦疼,乌驴皮汤,Others
治心燥,乌驴皮汤,Neurological and Mental Health
治口眼面目斜,乌驴皮汤,Others
治中风,恶实菜,Neurological and Mental Health
治燥热,恶实菜,Neurological and Mental Health
治口乾,恶实菜,Gastrointestinal Issues
治手足不遂,恶实菜,Musculoskeletal Issues
治皮肤热疮,恶实菜,General Health and Wellness
治中风,麻子粥,Neurological and Mental Health
治五脏风热,麻子粥,Neurological and Mental Health
治语言蹇涩,麻子粥,Speech-related
治手足不遂,麻子粥,Musculoskeletal Issues
治大肠滞涩,麻子粥,Gastrointestinal Issues
治中风,荆芥粥,Neurological and Mental Health
治言语蹇涩,荆芥粥,Neurological and Mental Health
治精神昏愦,荆芥粥,General Health and Wellness
治口面斜,荆芥粥,Others
治中风,葛粉羹,Neurological and Mental Health
治心脾风热,葛粉羹,Gastrointestinal Issues
治言语蹇涩,葛粉羹,Neurological and Mental Health
治精神昏愦,葛粉羹,General Health and Wellness
治手足不遂,葛粉羹,Musculoskeletal Issues
治诸中风,羊肚羹,Neurological and Mental Health
治中风,乌鸡酒,Neurological and Mental Health
治背强,乌鸡酒,Musculoskeletal Issues
治舌直不得语,乌鸡酒,Others
治目睛不转,乌鸡酒,Others
治烦热,乌鸡酒,Heat-clearing
治诸风,熊肉羹,Neurological and Mental Health
治脚气,熊肉羹,Others
治痹痛不仁,熊肉羹,Others
治五缓筋急,熊肉羹,Others
治惊风,狐肉羹,Neurological and Mental Health
治癫痫,狐肉羹,Neurological and Mental Health
治神情恍惚,狐肉羹,Neurological and Mental Health
治言语错谬,狐肉羹,Neurological and Mental Health
治歌笑无度,狐肉羹,Neurological and Mental Health
治风狂,驴肉汤,Neurological and Mental Health
治忧愁不乐,驴肉汤,Neurological and Mental Health
